staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0293815,,0.0153886,0.0293815,0.5286639,0.5286639,0.546334,0.8300617,1.0368465,right,10,1,1,0.4977063,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
1,2,8,1.04575,,1.0370032,1.04575,1.5465068,1.5465068,1.5465068,1.8461419,2.0691594,left,-8,1,1,0.5192659,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
2,2,6,2.0800655,,2.0693852,2.0800655,2.5802895,2.5802895,2.5802895,2.8799914,3.1008594,right,6,1,1,0.5101106,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
3,2,4,3.1130224,,3.1010369,3.1130224,3.6134585,3.6134585,3.6134585,3.9138406,4.2683985,right,4,1,1,0.6454579,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
4,1,2,4.2804946,,4.2686535,4.2804946,4.7802515,4.7802515,4.7802515,5.0801689,5.5673194,right,2,0,0,0.7777311,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
5,1,3,5.5793772,,5.5675184,5.5793772,6.0796197,6.0796197,6.0796197,6.3801301,6.6479882,right,3,0,0,0.5523326,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
6,1,4,6.6624403,,6.6481137,6.6624403,7.1625945,7.1625945,7.1625945,7.4635325,7.7188312,right,4,1,1,0.5462328,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
7,1,4,7.7297966,,7.7190419,7.7297966,8.2305323,8.2305323,8.2305323,8.5293976,8.7687197,right,4,1,1,0.5306464,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
8,1,4,8.7796159,,8.7689382,8.7796159,9.2800712,9.2800712,9.2800712,9.5797297,9.8012751,right,4,1,1,0.5180428,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
9,1,3,9.8126538,,9.8014265,9.8126538,10.3135356,10.3135356,10.3135356,10.6131273,10.8845603,left,-3,1,1,0.5672177,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
10,1,3,10.8965192,,10.8847238,10.8965192,11.3972703,11.3972703,11.3972703,11.6967635,11.9018918,right,3,1,1,0.4885755,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
11,1,3,11.9132447,,11.9021579,11.9132447,12.413372,12.413372,12.413372,12.712253,12.9329016,left,-3,1,1,0.5019617,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
12,1,2,12.9466434,,12.9331533,12.9466434,13.4462656,13.4462656,13.4462656,13.7462351,14.0013084,left,-2,1,1,0.5459784,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
13,1,2,14.0130228,,14.0014857,14.0130228,14.5143838,14.5143838,14.5143838,14.8289696,14.9506065,left,-2,1,1,0.4252154,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
14,1,2,14.9634102,,14.9508933,14.9634102,15.4636442,15.4636442,15.4636442,15.7635079,16.0042464,right,2,1,1,0.532521,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
15,1,1,16.0134279,,16.0045003,16.0134279,16.5133806,16.5133806,16.5133806,16.8132087,17.6015576,right,1,1,1,1.0766569,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
16,1,1,17.6131141,,17.6017678,17.6131141,18.1133155,18.1133155,18.1133155,18.4132935,18.7347565,left,-1,1,1,0.6138775,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
17,0.5,1,18.7466698,,18.734951,18.7466698,19.2472382,19.2472382,19.2472382,19.5626255,19.9005165,right,1,0,0,0.6408121,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
18,0.5,1.5,19.9133365,,19.900763,19.9133365,20.4135155,20.4135155,20.4135155,20.7138952,21.1335865,left,-1.5,1,1,0.7052357,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
19,0.5,1.5,21.1463839,,21.1337718,21.1463839,21.64695,21.64695,21.64695,21.9466084,22.2187494,right,1.5,1,1,0.5636636,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
20,0.5,1.5,22.229583,,22.2190291,22.229583,22.7294123,22.7294123,22.7294123,23.0292405,23.4853744,right,1.5,1,1,0.7400165,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
21,0.5,1,23.4966466,,23.4856813,23.4966466,23.9966195,23.9966195,23.9966195,24.2965826,24.566639,right,1,0,0,0.5631467,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
22,0.5,1.5,24.579189,,24.5668257,24.579189,25.0798171,25.0798171,25.0798171,25.3792938,25.6522549,right,1.5,0,0,0.5684641,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
23,0.5,2,25.6630506,,25.6524431,25.6630506,26.1633869,26.1633869,26.1633869,26.46371,26.8337608,right,2,1,1,0.6604018,111468,1,2024-09-12_18h44.47.278,experiment  psy310,2024.2.1post4,60.35538457,2024-09-12 18h44.50.006296 +0530
